level,fullTitleVi,fullTitleEn,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4,2023_1,2023_2,2023_3,2023_4,2024_1,2024_2,2024_3,2024_4,2025_1,2025_2,2025_3
1,Chứng khoán kinh doanh,Trading securities,5174551000000.0,8226308000000.0,6326247000000.0,6758094000000.0,3570608000000.0,7356386000000.0,5576396000000.0,7572229000000.0,5448576000000.0,3143477000000.0,6977978000000.0,10041556000000.0,10436754000000.0,9340287000000.0,10054880000000.0,8347576000000.0,5509124000000.0,7579192000000.0,6080683000000.0,5070812000000.0,3699101000000.0,831875000000.0,1434528000000.0,961034000000.0,78555000000.0,1719515000000.0,5130241000000.0,4432778000000.0,8967611000000.0,4142658000000.0,4524314000000.0,9000644000000.0,2280383000000.0,4138394000000.0,3107148000000.0
2,Chứng khoán nợ,Debt Securities,5181676000000.0,8233111000000.0,6334550000000.0,6775118000000.0,3579184000000.0,7373729000000.0,5586683000000.0,7583090000000.0,5459556000000.0,3151232000000.0,6988338000000.0,10052963000000.0,10446156000000.0,9364565000000.0,10063292000000.0,8357447000000.0,5521877000000.0,7594177000000.0,6116848000000.0,5074479000000.0,3757777000000.0,890551000000.0,1435098000000.0,961034000000.0,78555000000.0,1719515000000.0,5130241000000.0,4432778000000.0,8967611000000.0,4142658000000.0,4524314000000.0,8984049000000.0,2246869000000.0,4089246000000.0,3070877000000.0
2,Trái phiếu chính phủ,Government Bonds,4084657000000.0,6852822000000.0,5389150000000.0,3822161000000.0,2777853000000.0,4517706000000.0,3280628000000.0,3723271000000.0,2854289000000.0,536613000000.0,4139149000000.0,6688778000000.0,7428979000000.0,8208086000000.0,7175391000000.0,4035936000000.0,2684100000000.0,4357728000000.0,3199113000000.0,2841047000000.0,2997875000000.0,890551000000.0,1435098000000.0,961034000000.0,78555000000.0,1719515000000.0,1981120000000.0,301416000000.0,5260346000000.0,4142658000000.0,1014638000000.0,104940000000.0,740352000000.0,1682240000000.0,529772000000.0
2,Trái phiếu chính phủ bảo lãnh,Government Guaranteed bonds,151619000000.0,734889000000.0,0.0,116614000000.0,138969000000.0,138969000000.0,0.0,1711904000000.0,0.0,0.0,0.0,185821000000.0,0.0,156867000000.0,0.0,128615000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Trái phiếu do các TCTD khác trong nước phát hành,Securities issued by other local credit institutions,0.0,0.0,0.0,0.0,0.0,1774531000000.0,1502320000000.0,1012915000000.0,1455040000000.0,1814265000000.0,2148683000000.0,3178364000000.0,3017177000000.0,999612000000.0,2887901000000.0,4192896000000.0,2837777000000.0,3236449000000.0,2917735000000.0,2233432000000.0,759902000000.0,0.0,0.0,0.0,0.0,0.0,3149121000000.0,4131362000000.0,3707265000000.0,0.0,3509676000000.0,8879109000000.0,1506517000000.0,2407006000000.0,2541105000000.0
2,Trái phiếu do các TCKT trong nước phát hành,Securities issued by other local economic entities,945400000000.0,645400000000.0,945400000000.0,2836343000000.0,662362000000.0,942523000000.0,803735000000.0,1135000000000.0,1150227000000.0,800354000000.0,700506000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chứng khoán Nợ nước ngoài,Foreign Debt Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chứng khoán vốn,Equity Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16846000000.0,33892000000.0,49969000000.0,36552000000.0
2,Chứng khoán Vốn do các TCTD khác phát hành,Equity Securities issued by other local credit institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7264000000.0,5346000000.0,24109000000.0,12662000000.0
2,Chứng khoán Vốn do các TCKT trong nước phát hành,Equity Securities issued by other local economic entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9582000000.0,28546000000.0,25860000000.0,23890000000.0
