level,fullTitleVi,fullTitleEn,2017_5,2018_5,2019_5,2020_5,2021_5,2022_5,2023_5,2024_5
1,Lưu chuyển tiền từ hoạt động kinh doanh,Cash flows from operating activities,,,,,,,,
2,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Interest and similar receipts,17710304000000.0,20445343000000.0,25677175000000.0,28933307000000.0,35224259000000.0,43558389000000.0,53749365000000.0,61748921000000.0
2,Chi phí lãi và các chi phí tương tự đã trả,Interest and similar payments,-8095512000000.0,-9797235000000.0,-10865013000000.0,-10155492000000.0,-9042851000000.0,-12185090000000.0,-25941911000000.0,-26124464000000.0
2,Thu nhập từ hoạt động dịch vụ nhận được,Fees and commission income received,3861336000000.0,2966562000000.0,3170716000000.0,4140309000000.0,5958416000000.0,8076844000000.0,9134752000000.0,7679933000000.0
2,Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh,"Net receipts from foreign currencies, gold and securities trading",1635194000000.0,1310321000000.0,1703869000000.0,1897196000000.0,2502188000000.0,-420995000000.0,1168505000000.0,3150018000000.0
2,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,"Net receipts from dealing of foreign currencies, gold",1635194000000.0,0.0,0.0,1897196000000.0,2502188000000.0,0.0,0.0,0.0
2,Thu nhập từ hoạt động kinh doanh chứng khoán,Net receipts from dealing of securities,0.0,1310321000000.0,1703869000000.0,0.0,0.0,-420995000000.0,1168505000000.0,3150018000000.0
2,Thu nhập khác,Other operating income,598071000000.0,151294000000.0,485024000000.0,1190483000000.0,816228000000.0,605946000000.0,1384616000000.0,-2359679000000.0
2,"Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Receipts from debts written off or paid off by risk fund,1116820000000.0,1422895000000.0,1080236000000.0,1259653000000.0,1121235000000.0,1311053000000.0,831790000000.0,1138200000000.0
2,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ",Payments to employees and other operating expenses,-4282290000000.0,-4432019000000.0,-5565179000000.0,-6752272000000.0,-8687948000000.0,-9631184000000.0,-10339365000000.0,-10106171000000.0
2,Tiền thuế thu nhập thực nộp trong kỳ,Payments for corporate income tax,-1034529000000.0,-2140758000000.0,-2678919000000.0,-2881901000000.0,-4829911000000.0,-2301394000000.0,-5048936000000.0,-4089321000000.0
