level,fullTitleVi,fullTitleEn,2017_5,2018_5,2019_5,2020_5,2021_5,2022_5,2023_5,2024_5
1,Thu nhập lãi thuần,Net Interest Income,8930412000000.0,11389939000000.0,14257844000000.0,18751209000000.0,26698613000000.0,30289775000000.0,27691120000000.0,35507963000000.0
2,Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,17594504000000.0,21413626000000.0,25016341000000.0,29001912000000.0,35503251000000.0,44752636000000.0,56707759000000.0,60089462000000.0
2,Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,-8664092000000.0,-10023687000000.0,-10758497000000.0,-10250703000000.0,-8804638000000.0,-14462861000000.0,-29016639000000.0,-24581499000000.0
1,Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,3926084000000.0,3272580000000.0,3253353000000.0,4188778000000.0,6382240000000.0,8152605000000.0,8714897000000.0,8042248000000.0
2,Thu nhập từ dịch vụ,Fees and Commission Income,4519685000000.0,4188317000000.0,4884408000000.0,6048443000000.0,8239494000000.0,10840337000000.0,11378085000000.0,10961642000000.0
2,Chi phí dịch vụ,Fees and Commission Expenses,-593601000000.0,-915737000000.0,-1631055000000.0,-1859665000000.0,-1857254000000.0,-2687732000000.0,-2663188000000.0,-2919394000000.0
1,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,278585000000.0,233751000000.0,104581000000.0,745000000.0,231416000000.0,-275063000000.0,195750000000.0,592556000000.0
1,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,396730000000.0,168433000000.0,397664000000.0,321397000000.0,152305000000.0,-241845000000.0,64620000000.0,81301000000.0
1,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,855760000000.0,756585000000.0,1243759000000.0,1496997000000.0,1804408000000.0,425553000000.0,925833000000.0,2359057000000.0
1,Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,1714891000000.0,1633777000000.0,1806728000000.0,2279209000000.0,1803246000000.0,2167375000000.0,2434116000000.0,342711000000.0
2,Thu nhập khác,Other Income,1963425000000.0,3147169000000.0,4425079000000.0,5460013000000.0,4343731000000.0,4499949000000.0,6459694000000.0,9324928000000.0
2,Chi phí khác,Other Expenses,-248534000000.0,-1513392000000.0,-2618351000000.0,-3180804000000.0,-2540485000000.0,-2332574000000.0,-4025578000000.0,-8982217000000.0
2,Thu nhập từ cổ tức,Dividends Income,355526000000.0,894703000000.0,4216000000.0,4191000000.0,4063000000.0,8791000000.0,34756000000.0,64561000000.0
2,Tổng thu nhập hoạt động,Total Operating Income,16457988000000.0,18349768000000.0,21068145000000.0,27042526000000.0,37076291000000.0,40527191000000.0,40061092000000.0,46990397000000.0
2,Chi phí quản lý doanh nghiệp,General and Admin Expenses,-4812465000000.0,-5842507000000.0,-7312509000000.0,-8631195000000.0,-11173395000000.0,-13023129000000.0,-13251796000000.0,-15369735000000.0
2,Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,11645523000000.0,12507261000000.0,13755636000000.0,18411331000000.0,25902896000000.0,27504062000000.0,26809296000000.0,31620662000000.0
2,Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,-3609226000000.0,-1846245000000.0,-917368000000.0,-2611035000000.0,-2664603000000.0,-1936294000000.0,-3921068000000.0,-4082294000000.0
2,Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,8036297000000.0,10661016000000.0,12838268000000.0,15800296000000.0,23238293000000.0,25567768000000.0,22888228000000.0,27538368000000.0
1,Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,-1590702000000.0,-2187019000000.0,-2612059000000.0,-3217829000000.0,-4822911000000.0,-5131342000000.0,-4697362000000.0,-5778264000000.0
2,Chi phí thuế TNDN hiện hành,Business income tax - current,-1564816000000.0,-2185246000000.0,-2612059000000.0,-3217829000000.0,-4840371000000.0,-5174932000000.0,-4706721000000.0,-5787711000000.0
2,Chi phí thuế TNDN hoãn lại,Business income tax - deferred,-25886000000.0,-1773000000.0,0.0,0.0,17460000000.0,43590000000.0,9359000000.0,9447000000.0
1,Lợi nhuận sau thuế,Net profit/(loss) after tax,6445595000000.0,8473997000000.0,10226209000000.0,12582467000000.0,18415382000000.0,20436426000000.0,18190866000000.0,21760104000000.0
1,Lợi ích của cổ đông thiểu số,Minority interest,0.0,-11222000000.0,-151070000000.0,-257476000000.0,-363132000000.0,-286049000000.0,-187064000000.0,-237176000000.0
1,Cổ đông của Công ty mẹ,Attributable to parent company,6445595000000.0,8462775000000.0,10075139000000.0,12324991000000.0,18052250000000.0,20150377000000.0,18003802000000.0,21522928000000.0
1,Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),7719.0,3816.0,2871.0,3515.0,5137.0,5725.0,2549.0,3049.0
1,Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
