level,fullTitleVi,fullTitleEn,2017_5,2018_5,2019_5,2020_5,2021_5,2022_5,2023_5,2024_5
1,Chứng khoán kinh doanh,Trading securities,6758094000000.0,7572229000000.0,10041556000000.0,8347576000000.0,5070812000000.0,961034000000.0,4432778000000.0,9000644000000.0
2,Chứng khoán nợ,Debt Securities,6775118000000.0,7583090000000.0,10052963000000.0,8357447000000.0,5074479000000.0,961034000000.0,4432778000000.0,8984049000000.0
2,Trái phiếu chính phủ,Government Bonds,3822161000000.0,3723271000000.0,6688778000000.0,4035936000000.0,2841047000000.0,961034000000.0,301416000000.0,104940000000.0
2,Trái phiếu chính phủ bảo lãnh,Government Guaranteed bonds,116614000000.0,1711904000000.0,185821000000.0,128615000000.0,0.0,0.0,0.0,0.0
2,Trái phiếu do các TCTD khác trong nước phát hành,Securities issued by other local credit institutions,0.0,1012915000000.0,3178364000000.0,4192896000000.0,2233432000000.0,0.0,4131362000000.0,8879109000000.0
2,Trái phiếu do các TCKT trong nước phát hành,Securities issued by other local economic entities,2836343000000.0,1135000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chứng khoán Nợ nước ngoài,Foreign Debt Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chứng khoán vốn,Equity Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16846000000.0
2,Chứng khoán Vốn do các TCTD khác phát hành,Equity Securities issued by other local credit institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7264000000.0
2,Chứng khoán Vốn do các TCKT trong nước phát hành,Equity Securities issued by other local economic entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9582000000.0
2,Chứng khoán Vốn nước ngoài,Foreign Equity Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Chứng khoán kinh doanh khác,Other trading securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dự phòng rủi ro chứng khoán kinh doanh,Allowances for trading securities,-17024000000.0,-10861000000.0,-11407000000.0,-9871000000.0,-3667000000.0,0.0,0.0,-251000000.0
2,Dự phòng giảm giá,Allowances for decline in value of trading securities,-2778000000.0,-317000000.0,-3223000000.0,-9871000000.0,-3667000000.0,0.0,0.0,-251000000.0
2,Dự phòng chung,General allowance,-14246000000.0,-10544000000.0,-8184000000.0,0.0,0.0,0.0,0.0,0.0
2,Dự phòng cụ thể,Specific allowance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Tình trạng niêm yết của các chứng khoán kinh doanh,Listing status of trading securities,6775118000000.0,7583090000000.0,10052963000000.0,8357447000000.0,5074479000000.0,961034000000.0,4432778000000.0,9000895000000.0
2,Chứng khoán nợ,Debt Securities,6775118000000.0,7583090000000.0,10052963000000.0,8357447000000.0,5074479000000.0,961034000000.0,4432778000000.0,8984049000000.0
