,Date,sourceCurrency,targetCurrency,askRate,bidRateCK
0,2025-01-02,AUD,VND,16187.0,15557.0
1,2025-01-02,CAD,VND,18018.0,17398.0
2,2025-01-02,CHF,VND,28511.0,27865.0
3,2025-01-02,CNY,VND,3600.0,3358.0
4,2025-01-02,EUR,VND,26819.0,25990.0
5,2025-01-02,GBP,VND,32310.0,31364.0
6,2025-01-02,HKD,VND,3345.0,3142.0
7,2025-01-02,JPY,VND,165.74,159.58
8,2025-01-02,KRW,VND,19.0,
9,2025-01-02,NZD,VND,14574.0,13985.0
10,2025-01-02,SGD,VND,18946.0,18419.0
11,2025-01-02,THB,VND,775.0,721.0
12,2025-01-02,USD,VND,,
13,2025-01-02,USD,VND,,
14,2025-01-02,USD,VND,25559.0,25290.0
15,2025-01-03,AUD,VND,16159.0,15523.0
16,2025-01-03,CAD,VND,18010.0,17388.0
17,2025-01-03,CHF,VND,28312.0,27659.0
18,2025-01-03,CNY,VND,3600.0,3358.0
19,2025-01-03,EUR,VND,26600.0,25761.0
20,2025-01-03,GBP,VND,32014.0,31060.0
21,2025-01-03,HKD,VND,3338.0,3135.0
22,2025-01-03,JPY,VND,165.2,159.01
23,2025-01-03,KRW,VND,19.0,
24,2025-01-03,NZD,VND,14511.0,13913.0
25,2025-01-03,SGD,VND,18807.0,18275.0
26,2025-01-03,THB,VND,769.0,716.0
27,2025-01-03,USD,VND,,
28,2025-01-03,USD,VND,,
29,2025-01-03,USD,VND,25550.0,25240.0
30,2025-01-04,AUD,VND,16159.0,15520.0
31,2025-01-04,CAD,VND,17949.0,17327.0
32,2025-01-04,CHF,VND,28349.0,27699.0
33,2025-01-04,CNY,VND,3600.0,3358.0
34,2025-01-04,EUR,VND,26666.0,25824.0
35,2025-01-04,GBP,VND,32087.0,31139.0
36,2025-01-04,HKD,VND,3339.0,3135.0
37,2025-01-04,JPY,VND,165.16,158.94
38,2025-01-04,KRW,VND,19.0,
39,2025-01-04,NZD,VND,14544.0,13944.0
40,2025-01-04,SGD,VND,18815.0,18277.0
41,2025-01-04,THB,VND,769.0,715.0
42,2025-01-04,USD,VND,,
43,2025-01-04,USD,VND,,
44,2025-01-04,USD,VND,25550.0,25240.0
45,2025-01-06,AUD,VND,16207.0,15578.0
46,2025-01-06,CAD,VND,18010.0,17394.0
47,2025-01-06,CHF,VND,28369.0,27730.0
48,2025-01-06,CNY,VND,3600.0,3358.0
49,2025-01-06,EUR,VND,26726.0,25900.0
50,2025-01-06,GBP,VND,32154.0,31227.0
51,2025-01-06,HKD,VND,3336.0,3133.0
52,2025-01-06,JPY,VND,164.43,158.32
53,2025-01-06,KRW,VND,19.0,
54,2025-01-06,NZD,VND,14573.0,13983.0
55,2025-01-06,SGD,VND,18824.0,18303.0
56,2025-01-06,THB,VND,765.0,711.0
57,2025-01-06,USD,VND,,
58,2025-01-06,USD,VND,,
59,2025-01-06,USD,VND,25553.0,25215.0
60,2025-01-07,AUD,VND,16303.0,15673.0
61,2025-01-07,CAD,VND,18093.0,17480.0
62,2025-01-07,CHF,VND,28419.0,27781.0
63,2025-01-07,CNY,VND,3600.0,3358.0
64,2025-01-07,EUR,VND,26900.0,26075.0
65,2025-01-07,GBP,VND,32380.0,31446.0
66,2025-01-07,HKD,VND,3335.0,3133.0
67,2025-01-07,JPY,VND,164.56,158.44
68,2025-01-07,KRW,VND,19.0,
69,2025-01-07,NZD,VND,14696.0,14109.0
70,2025-01-07,SGD,VND,18913.0,18394.0
71,2025-01-07,THB,VND,767.0,714.0
72,2025-01-07,USD,VND,,
73,2025-01-07,USD,VND,,
74,2025-01-07,USD,VND,25548.0,25208.0
75,2025-01-08,AUD,VND,16151.0,15521.0
76,2025-01-08,CAD,VND,18027.0,17409.0
77,2025-01-08,CHF,VND,28199.0,27567.0
78,2025-01-08,CNY,VND,3600.0,3358.0
79,2025-01-08,EUR,VND,26650.0,25821.0
80,2025-01-08,GBP,VND,32116.0,31185.0
81,2025-01-08,HKD,VND,3335.0,3132.0
82,2025-01-08,JPY,VND,164.06,157.91
83,2025-01-08,KRW,VND,19.0,
84,2025-01-08,NZD,VND,14530.0,13940.0
85,2025-01-08,SGD,VND,18831.0,18301.0
86,2025-01-08,THB,VND,764.0,711.0
87,2025-01-08,USD,VND,,
88,2025-01-08,USD,VND,,
89,2025-01-08,USD,VND,25546.0,25220.0
90,2025-01-09,AUD,VND,16088.0,15459.0
91,2025-01-09,CAD,VND,18002.0,17391.0
92,2025-01-09,CHF,VND,28220.0,27585.0
93,2025-01-09,CNY,VND,3600.0,3358.0
94,2025-01-09,EUR,VND,26619.0,25794.0
95,2025-01-09,GBP,VND,31699.0,30765.0
96,2025-01-09,HKD,VND,3334.0,3132.0
97,2025-01-09,JPY,VND,164.2,158.07
98,2025-01-09,KRW,VND,19.0,
99,2025-01-09,NZD,VND,14467.0,13881.0
100,2025-01-09,SGD,VND,18801.0,18277.0
101,2025-01-09,THB,VND,764.0,711.0
102,2025-01-09,USD,VND,,
103,2025-01-09,USD,VND,,
104,2025-01-09,USD,VND,25554.0,25220.0
105,2025-01-10,AUD,VND,16056.0,15429.0
106,2025-01-10,CAD,VND,17966.0,17350.0
107,2025-01-10,CHF,VND,28144.0,27507.0
108,2025-01-10,CNY,VND,3600.0,3358.0
109,2025-01-10,EUR,VND,26595.0,25770.0
110,2025-01-10,GBP,VND,31714.0,30781.0
111,2025-01-10,HKD,VND,3330.0,3128.0
112,2025-01-10,JPY,VND,164.22,158.11
113,2025-01-10,KRW,VND,19.0,
114,2025-01-10,NZD,VND,14429.0,13842.0
115,2025-01-10,SGD,VND,18801.0,18282.0
116,2025-01-10,THB,VND,765.0,712.0
117,2025-01-10,USD,VND,,
118,2025-01-10,USD,VND,,
119,2025-01-10,USD,VND,25550.0,25205.0
120,2025-01-11,AUD,VND,15976.0,15332.0
121,2025-01-11,CAD,VND,17959.0,17336.0
122,2025-01-11,CHF,VND,28065.0,27422.0
123,2025-01-11,CNY,VND,3600.0,3358.0
124,2025-01-11,EUR,VND,26475.0,25631.0
125,2025-01-11,GBP,VND,31517.0,30553.0
126,2025-01-11,HKD,VND,3331.0,3127.0
127,2025-01-11,JPY,VND,164.54,158.32
128,2025-01-11,KRW,VND,19.0,
129,2025-01-11,NZD,VND,14377.0,13787.0
130,2025-01-11,SGD,VND,18768.0,18242.0
131,2025-01-11,THB,VND,766.0,709.0
132,2025-01-11,USD,VND,,
133,2025-01-11,USD,VND,,
134,2025-01-11,USD,VND,25558.0,25210.0
135,2025-01-13,AUD,VND,15959.0,15329.0
136,2025-01-13,CAD,VND,17958.0,17338.0
137,2025-01-13,CHF,VND,28070.0,27428.0
138,2025-01-13,CNY,VND,3600.0,3358.0
139,2025-01-13,EUR,VND,26364.0,25535.0
140,2025-01-13,GBP,VND,31281.0,30343.0
141,2025-01-13,HKD,VND,3333.0,3131.0
142,2025-01-13,JPY,VND,165.27,159.13
143,2025-01-13,KRW,VND,19.0,
144,2025-01-13,NZD,VND,14360.0,13771.0
145,2025-01-13,SGD,VND,18738.0,18215.0
146,2025-01-13,THB,VND,761.0,708.0
147,2025-01-13,USD,VND,,
148,2025-01-13,USD,VND,,
149,2025-01-13,USD,VND,25560.0,25235.0
150,2025-01-14,AUD,VND,16075.0,15445.0
151,2025-01-14,CAD,VND,18016.0,17398.0
152,2025-01-14,CHF,VND,28086.0,27445.0
153,2025-01-14,CNY,VND,3600.0,3358.0
154,2025-01-14,EUR,VND,26508.0,25677.0
155,2025-01-14,GBP,VND,31437.0,30496.0
156,2025-01-14,HKD,VND,3332.0,3130.0
157,2025-01-14,JPY,VND,164.34,158.16
158,2025-01-14,KRW,VND,19.0,
159,2025-01-14,NZD,VND,14515.0,13925.0
160,2025-01-14,SGD,VND,18803.0,18279.0
161,2025-01-14,THB,VND,762.0,709.0
162,2025-01-14,USD,VND,,
163,2025-01-14,USD,VND,,
164,2025-01-14,USD,VND,25563.0,25225.0
165,2025-01-15,AUD,VND,16110.0,15480.0
166,2025-01-15,CAD,VND,18052.0,17434.0
167,2025-01-15,CHF,VND,28211.0,27579.0
168,2025-01-15,CNY,VND,3600.0,3358.0
169,2025-01-15,EUR,VND,26633.0,25804.0
170,2025-01-15,GBP,VND,31555.0,30616.0
171,2025-01-15,HKD,VND,3331.0,3129.0
172,2025-01-15,JPY,VND,165.37,159.24
173,2025-01-15,KRW,VND,19.0,
174,2025-01-15,NZD,VND,14527.0,13940.0
175,2025-01-15,SGD,VND,18835.0,18312.0
176,2025-01-15,THB,VND,763.0,710.0
177,2025-01-15,USD,VND,,
178,2025-01-15,USD,VND,,
179,2025-01-15,USD,VND,25554.0,25220.0
180,2025-01-16,AUD,VND,16128.0,15495.0
181,2025-01-16,CAD,VND,18004.0,17382.0
182,2025-01-16,CHF,VND,28205.0,27558.0
183,2025-01-16,CNY,VND,3600.0,3358.0
184,2025-01-16,EUR,VND,26771.0,25737.0
185,2025-01-16,GBP,VND,31472.0,30535.0
186,2025-01-16,HKD,VND,3328.0,3125.0
187,2025-01-16,JPY,VND,166.44,160.24
188,2025-01-16,KRW,VND,19.0,
189,2025-01-16,NZD,VND,14488.0,13898.0
190,2025-01-16,SGD,VND,18812.0,18285.0
191,2025-01-16,THB,VND,765.0,711.0
192,2025-01-16,USD,VND,,
193,2025-01-16,USD,VND,,
194,2025-01-16,USD,VND,25545.0,25195.0
195,2025-01-17,AUD,VND,16078.0,15440.0
196,2025-01-17,CAD,VND,17938.0,17316.0
197,2025-01-17,CHF,VND,28172.0,27525.0
198,2025-01-17,CNY,VND,3600.0,3358.0
199,2025-01-17,EUR,VND,26753.0,25716.0
200,2025-01-17,GBP,VND,31435.0,30482.0
201,2025-01-17,HKD,VND,3324.0,3121.0
202,2025-01-17,JPY,VND,166.26,160.05
203,2025-01-17,KRW,VND,19.0,
204,2025-01-17,NZD,VND,14453.0,13861.0
205,2025-01-17,SGD,VND,18793.0,18272.0
206,2025-01-17,THB,VND,767.0,714.0
207,2025-01-17,USD,VND,,
208,2025-01-17,USD,VND,,
209,2025-01-17,USD,VND,25510.0,25160.0
210,2025-01-18,AUD,VND,16056.0,15415.0
211,2025-01-18,CAD,VND,17854.0,17231.0
212,2025-01-18,CHF,VND,28056.0,27413.0
213,2025-01-18,CNY,VND,3600.0,3358.0
214,2025-01-18,EUR,VND,26687.0,25648.0
215,2025-01-18,GBP,VND,31349.0,30389.0
216,2025-01-18,HKD,VND,3325.0,3121.0
217,2025-01-18,JPY,VND,165.66,159.44
218,2025-01-18,KRW,VND,19.0,
219,2025-01-18,NZD,VND,14420.0,13820.0
220,2025-01-18,SGD,VND,18759.0,18229.0
221,2025-01-18,THB,VND,770.0,716.0
222,2025-01-18,USD,VND,,
223,2025-01-18,USD,VND,,
224,2025-01-18,USD,VND,25515.0,25160.0
225,2025-01-20,AUD,VND,16073.0,15448.0
226,2025-01-20,CAD,VND,17859.0,17241.0
227,2025-01-20,CHF,VND,28100.0,27458.0
228,2025-01-20,CNY,VND,3600.0,3358.0
229,2025-01-20,EUR,VND,26783.0,25754.0
230,2025-01-20,GBP,VND,31385.0,30447.0
231,2025-01-20,HKD,VND,3325.0,3122.0
232,2025-01-20,JPY,VND,165.64,159.51
233,2025-01-20,KRW,VND,19.0,
234,2025-01-20,NZD,VND,14466.0,13876.0
235,2025-01-20,SGD,VND,18817.0,18294.0
236,2025-01-20,THB,VND,770.0,717.0
237,2025-01-20,USD,VND,,
238,2025-01-20,USD,VND,,
239,2025-01-20,USD,VND,25505.0,25160.0
240,2025-01-21,AUD,VND,16113.0,15477.0
241,2025-01-21,CAD,VND,17882.0,17260.0
242,2025-01-21,CHF,VND,28115.0,27468.0
243,2025-01-21,CNY,VND,3600.0,3358.0
244,2025-01-21,EUR,VND,26818.0,25784.0
245,2025-01-21,GBP,VND,31471.0,30524.0
246,2025-01-21,HKD,VND,3318.0,3115.0
247,2025-01-21,JPY,VND,165.68,159.47
248,2025-01-21,KRW,VND,19.0,
249,2025-01-21,NZD,VND,14503.0,13911.0
250,2025-01-21,SGD,VND,18848.0,18316.0
251,2025-01-21,THB,VND,772.0,719.0
252,2025-01-21,USD,VND,,
253,2025-01-21,USD,VND,,
254,2025-01-21,USD,VND,25455.0,25105.0
255,2025-01-22,AUD,VND,16148.0,15506.0
256,2025-01-22,CAD,VND,17901.0,17268.0
257,2025-01-22,CHF,VND,28129.0,27465.0
258,2025-01-22,CNY,VND,3600.0,3358.0
259,2025-01-22,EUR,VND,26887.0,25837.0
260,2025-01-22,GBP,VND,31569.0,30605.0
261,2025-01-22,HKD,VND,3299.0,3094.0
262,2025-01-22,JPY,VND,165.02,158.72
263,2025-01-22,KRW,VND,19.0,
264,2025-01-22,NZD,VND,14538.0,13939.0
265,2025-01-22,SGD,VND,18842.0,18304.0
