title,pdf_url,page
Tóm tắt NQ79-NQ/TW,https://kbsec.com.vn/pic/Service/KBSV_FTM_NQ79.pdf,1
Cập nhật chính sách quan trọng ngành dầu khí,https://kbsec.com.vn/pic/Service/KBSV_FTM_Chinhsachnganhdaukhi.pdf,1
Đợt chào mua lại cổ phiếu của VEIL,https://kbsec.com.vn/pic/Service/KBSV_FTM_VIEL.pdf,1
FTSE chính thức công bố nâng hạng thị trường Việt Nam,https://kbsec.com.vn/pic/Service/KBSV_FTM_Nanghangthitruong_20251008.pdf,1
Việt Nam trong Tradewar 2.0: Mỹ - Việt Nam đạt thoả thuận thương mại mới,https://kbsec.com.vn/pic/Service/KBSV_FTM_Tradewar2.0_Thoathuanthuong maiMyvaViet Nam.pdf,1
Leo thang xung đột Iran - Israel,https://kbsec.com.vn/pic/Service/KBSV_FTM_Iran-Israel.pdf,1
Việt Nam trong Tradewar 2.0,https://kbsec.com.vn/pic/Service/KBSV_FTM_VietNamtrongTradewar2.0_20250415.pdf,1
Việt Nam trong Tradewar 2.0,https://kbsec.com.vn/pic/Service/KBSV_FTM_VietNamtrongTradewar2.0_20250405.pdf,1
Việt Nam trước tác động của Tradewar 2.0,https://kbsec.com.vn/pic/Service/KBSV_FTM_VietNamtruoctacdongTradewar 2.0_20250326.pdf,1
Áp lực từ thuế quan của Hoa Kỳ lên ngành Thép,https://kbsec.com.vn/pic/Service/KBSV_FTM_Thep_1Q2025_250210.pdf,1
Tác động của chính sách Donald Trump đến Việt Nam,https://kbsec.com.vn/pic/Service/KBSV_FTM_DonaldTrumpimpact_20241114 (2).pdf,2
Cập nhật cuộc họp OPEC+ ngày 02 tháng 06 năm 2024 ,https://kbsec.com.vn/pic/Service/KBSV_FTM_Daukhi_20240603.pdf,2
"Thị trường tiền tệ, trái phiếu tháng 2/2024",https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_02T2024 (3).pdf,2
"Thị trường tiền tệ, trái phiếu tháng 1/2024",https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_01T2024.pdf,2
Cập nhật thông tin kinh tế vĩ mô trong Tết 2024,https://kbsec.com.vn/pic/Service/Cap_nhat_vi_mo_Tet_(1).pdf,2
Cập nhật cuộc họp OPEC+ ngày 02 tháng 02 năm 2024 ,https://kbsec.com.vn/pic/Service/KBSV_FTM_Daukhi_20230202.pdf,2
Cập nhật cuộc họp FED,https://kbsec.com.vn/pic/Service/FTM_FEDmeeting31.01.2024 (2).pdf,2
PCE lõi tiếp tục xu hướng giảm,https://kbsec.com.vn/pic/Service/PCE_T12.pdf,2
Cập nhật số liệu GDP 4Q Mỹ ngày 26/01,https://kbsec.com.vn/pic/Service/FTM_GDP US.pdf,2
Cập nhật dữ liệu mới của Trung  Quốc ngày 17/01,https://kbsec.com.vn/pic/Service/Trung_Quoc_17.01.pdf,2
Lạm phát Mỹ tháng 12 cao hơn dự báo,https://kbsec.com.vn/pic/Service/CPI_T12_1.pdf,3
Thị trường lao động Mỹ khả quan,https://kbsec.com.vn/pic/Service/FTM_Nonfarm_payroll(1).pdf,3
Việt Nam áp dụng thuế tối thiểu toàn cầu 15%,https://kbsec.com.vn/pic/Service/FTM_Thue_doanh_nghiep_FDI.pdf,3
"Thị trường tiền tệ, trái phiếu tháng 10 năm 2023",https://kbsec.com.vn/pic/Service/KBSV_Traiphieu_10T2023 (2).pdf,3
Lạm phát Mỹ tháng 10 thấp hơn dự báo,https://kbsec.com.vn/pic/Service/CPI_US.pdf,3
Việt Nam trở lại danh sách giám sát ngoại hối của Mỹ,https://kbsec.com.vn/pic/Service/FTM_GSTT.pdf,3
Khối lượng trái phiếu Chính phủ Mỹ chào bán ít hơn so với dự báo,https://kbsec.com.vn/pic/Service/Auction_bond_US_(3).pdf,3
Tăng trưởng tín dụng quay đầu giảm trong tháng 10,https://kbsec.com.vn/pic/Service/Tang_truong_tin_dung.pdf,3
"NHNN hút ròng hơn 220,000 tỷ tín phiếu qua kênh thị trường mở",https://kbsec.com.vn/pic/Service/FTM- T-bill.pdf,3
Giảm tỷ lệ vốn ngắn hạn cho vay trung - dài hạn đối với ngân hàng còn 30%,https://kbsec.com.vn/pic/Service/FTM_Thong_tu_08.pdf,3
"Thị trường tiền tệ, trái phiếu tháng 8/2023",https://kbsec.com.vn/pic/Service/KBSV_Thi_truong_Tien_Te_08T2023 (1).pdf,4
"Tăng trưởng kinh tế Trung Quốc chậm lại, nguyên nhân, dự báo và tác động lên kinh tế Việt Nam",https://kbsec.com.vn/pic/Service/Kinh_te_Trung_Quoc.pdf,4
