title,pdf_url,page
Triển vọng kinh tế Việt Nam 4Q2025,https://kbsec.com.vn/pic/Service/KBSV_TrienvongKinhtevimo_4Q2025.pdf,1
Triển vọng kinh tế Việt Nam 2H2025,https://kbsec.com.vn/pic/Service/KBSV_TrienvongKinhtevimo_2H2025.pdf,1
Triển vọng kinh tế Việt Nam 2Q2025,https://kbsec.com.vn/pic/Service/KBSV_TrienvongKinhtevimo_2Q2025.pdf,1
Triển vọng kinh tế Việt Nam 2025,https://kbsec.com.vn/pic/Service/KBSV_TrienvongKinhtevimo_2025_20012025.pdf,1
Triển vọng kinh tế Việt Nam 4Q2024,https://kbsec.com.vn/pic/Service/KBSV_KTVM_4Q2024 (1).pdf,1
Triển vọng kinh tế Việt Nam 2H2024,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2H2024.pdf,1
Triển vọng kinh tế Việt Nam 2Q2024,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2Q2024.pdf,1
Triển vọng kinh tế Việt Nam 2024,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2024_final.pdf,1
Triển vọng kinh tế Việt Nam 4Q/2023,https://kbsec.com.vn/pic/Service/KBSV_KTVM_4Q2023 (2).pdf,1
Triển vọng kinh tế Việt Nam 2H2023,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2H2023 (2).pdf,1
Triển vọng kinh tế Việt Nam Quý 2/2023,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2Q2023 (2).pdf,2
Triển vọng kinh tế Việt Nam 2023,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2023.pdf,2
Triển vọng kinh tế Việt Nam 4Q2022,https://kbsec.com.vn/pic/Service/KBSV_KTVM_4Q2022 (2).pdf,2
Triển vọng kinh tế Việt Nam 2H2022,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2H2022.pdf,2
Triển vọng kinh tế Việt Nam Quý 2/2022,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2Q2022 (2).pdf,2
Triển vọng kinh tế Việt Nam 2022,https://kbsec.com.vn/pic/Service/KBSV_KTVM_2022 (3).pdf,2
Triển vọng kinh tế Việt Nam Quý 4/2021,https://kbsec.com.vn/pic/Service/KBSV_KTVM_4Q2021 (2).pdf,2
Triển vọng kinh tế Việt Nam 2H/2021,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_2H.2021.pdf,2
Triển vọng kinh tế Việt Nam Quý 2/2021,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_2Q2021.pdf,2
Triển vọng kinh tế Việt Nam 2021,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_2021_final (2).pdf,2
Triển vọng kinh tế Việt Nam Quý 4/2020,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_4Q2020.pdf,3
Triển vọng kinh tế Việt Nam 2H/2020,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_6T2020.pdf,3
Triển vọng kinh tế Việt Nam Quý 2/2020,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_Q2_2020.pdf,3
Triển vọng kinh tế Việt Nam 2020,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_2020.pdf,3
Báo cáo cập nhật vĩ mô Tháng 10/2019,https://kbsec.com.vn/pic/Service/KBSV_Baocao_capnhat_KTVM_102019.pdf,3
Triển vọng kinh tế Việt Nam Quý 4/2019,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_Q42019 (3).pdf,3
Báo cáo cập nhật vĩ mô Tháng 8/2019,https://kbsec.com.vn/pic/Service/KBSV_Baocao_capnhat_KTVM_082019.pdf,3
Báo cáo cập nhật vĩ mô Tháng 7/2019,https://kbsec.com.vn/pic/Service/KBSV_Baocao_capnhat_KTVM_072019.pdf,3
Triển vọng kinh tế Việt Nam 6 tháng cuối năm 2019 ,https://kbsec.com.vn/pic/Service/KBSV_Trienvong_KTVM_Quy3_072019_VN.pdf,3
Báo cáo cập nhật vĩ mô Tháng 5/2019,https://kbsec.com.vn/pic/Service/KBSV_Báo cáo cập nhật kinh tế vĩ mô Tháng 5_11062019.pdf,3
Báo cáo cập nhật vĩ mô Tháng 4/2019,https://kbsec.com.vn/pic/Service/KBSV_Báo cáo cập nhật kinh tế vĩ mô_08052019.pdf,4
Triển vọng Kinh tế Việt Nam trong Quý 2 năm 2019,https://kbsec.com.vn/pic/Service/KBSV_Triển vọng kinh tế vĩ mô Quý 2_2019_04102019.pdf,4
Báo cáo cập nhật kinh tế vĩ mô nửa đầu Quý 1/2019,https://kbsec.com.vn/pic/Service/KBSV_Báo cáo cập nhật kinh tế vĩ mô_04032019.pdf,4
Triển vọng kinh tế Việt Nam năm 2019,https://kbsec.com.vn/pic/Service/KBSV_Triển vọng kinh tế Việt Nam_FY2019.pdf,4
Triển vọng kinh tế Việt Nam Quý 4/2018,https://kbsec.com.vn/pic/Service/KBSV_Vietnam Macro Outlook_Q42018_VN.pdf,4
Triển vọng kinh tế Việt Nam 2H2018,https://kbsec.com.vn/pic/Service/KBSV_Triển vọng kinh tế VN 2H2018_20180802.pdf,4
